Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,1,PS (I-V),1,Department of Education,118,118,94,0,112,30,115,118,8,0,78,118,9,8,33,118,116,118,117,118,117,102,102,103,102,118,118,5,3,13,116,0,115,118,115,96,2,1
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,1,PS (I-V),5,Private Unaided (Recognized),37,37,26,0,30,22,34,35,16,0,25,22,1,7,6,36,36,37,37,37,37,32,32,33,33,37,37,8,6,5,37,0,37,20,14,3,14,9
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,1,PS (I-V),98,Madarsa unrecognized,9,8,5,0,6,6,8,8,3,0,7,2,0,1,1,9,9,9,9,9,9,8,7,8,8,9,9,1,0,0,9,0,9,4,2,0,2,2
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,2,UPS (I-VIII),1,Department of Education,29,29,22,0,28,8,28,29,1,0,20,29,4,3,10,29,29,29,29,29,29,22,22,22,22,29,29,1,0,4,29,21,29,29,28,24,0,1
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,2,UPS (I-VIII),5,Private Unaided (Recognized),3,3,2,0,1,1,2,2,1,0,1,1,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,2,0,2,0,0,0,1,1
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,2,UPS (I-VIII),98,Madarsa unrecognized,4,4,3,0,1,2,4,4,0,0,3,3,0,3,0,4,4,4,4,4,4,3,3,3,3,4,4,0,0,1,3,2,3,2,1,0,0,2
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,3,HSS (I-XII),4,Government Aided,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,3,HSS (I-XII),5,Private Unaided (Recognized),2,2,2,0,2,2,2,2,0,0,1,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,0,1,1,1,2
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,3,HSS (I-XII),98,Madarsa unrecognized,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1
2019-20,9,Uttar Pradesh,930,KANNAUJ,93001,KANNAUJ,Rural,4,UPS (VI-VIII),1,Department of Education,31,31,18,0,30,12,29,31,3,0,21,31,3,2,4,30,30,30,30,31,31,23,23,24,24,31,31,2,2,5,30,21,30,30,28,25,0,1
