Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,1,PS (I-V),1,Department of Education,59,59,39,0,57,29,59,59,54,0,55,3,29,42,54,59,59,59,59,59,59,19,18,19,19,59,59,56,55,58,59,0,59,58,58,56,53,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,1,PS (I-V),5,Private Unaided (Recognized),23,23,23,0,17,7,22,22,19,0,18,2,13,13,21,23,23,23,23,23,23,6,6,6,6,23,23,20,22,21,23,0,23,17,19,9,18,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,1,PS (I-V),97,Madarsa recognized (by Wakf board/Madarsa Board) ,5,5,5,0,4,2,5,5,4,0,4,0,3,4,4,5,5,5,5,5,5,3,3,3,3,5,5,3,4,4,5,0,5,4,4,2,4,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,2,UPS (I-VIII),1,Department of Education,16,16,9,0,15,8,16,16,15,0,16,16,12,12,15,16,16,16,16,16,16,2,3,3,3,16,16,16,15,16,16,16,16,16,15,13,11,2
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,2,UPS (I-VIII),4,Government Aided,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,2,UPS (I-VIII),97,Madarsa recognized (by Wakf board/Madarsa Board) ,4,4,3,0,2,1,4,4,4,0,2,0,3,2,4,4,4,4,4,4,4,0,0,0,0,4,4,4,4,4,4,4,4,3,4,1,4,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,4,UPS (VI-VIII),1,Department of Education,14,14,8,0,14,5,13,13,12,0,13,14,10,10,13,14,14,14,14,14,14,3,3,3,3,14,14,12,12,14,14,14,14,13,14,14,12,1
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,4,UPS (VI-VIII),4,Government Aided,2,2,2,0,1,2,2,2,2,0,2,0,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,4,UPS (VI-VIII),5,Private Unaided (Recognized),6,6,6,0,3,3,6,6,6,0,6,1,4,5,6,5,5,6,6,6,6,1,2,2,2,6,6,6,6,6,6,6,6,6,6,4,6,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,5,HSS (VI-XII),5,Private Unaided (Recognized),4,4,4,0,2,1,4,4,4,0,3,0,1,3,4,4,4,4,4,4,4,2,2,2,2,4,4,3,4,3,4,3,4,4,3,1,4,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,5,HSS (VI-XII),97,Madarsa recognized (by Wakf board/Madarsa Board) ,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,6,SS (I-X),97,Madarsa recognized (by Wakf board/Madarsa Board) ,3,3,3,0,2,2,3,3,3,0,3,0,0,0,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,7,SS (VI-X),5,Private Unaided (Recognized),2,2,2,0,1,1,2,2,1,0,0,0,0,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,2,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,8,SS (IX-X),1,Department of Education,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,8,SS (IX-X),5,Private Unaided (Recognized),3,3,3,0,3,2,3,3,2,0,3,0,1,3,2,3,3,3,3,3,3,2,2,2,2,3,3,1,2,2,3,2,3,2,2,1,2,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95610,PAULI,Rural,10,HSS (IX-XII),5,Private Unaided (Recognized),2,2,2,0,2,2,2,2,2,0,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,0,2,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95615,KHALILABAD,Rural,1,PS (I-V),1,Department of Education,107,107,83,1,88,39,71,75,2,0,97,95,3,1,18,105,97,106,99,107,100,74,75,75,73,105,102,0,0,11,97,0,90,89,105,85,1,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95615,KHALILABAD,Rural,1,PS (I-V),5,Private Unaided (Recognized),46,46,44,0,33,24,45,45,1,0,35,5,6,12,0,46,46,46,46,46,46,45,45,45,45,46,46,2,1,6,39,0,39,2,24,4,2,5
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95615,KHALILABAD,Rural,1,PS (I-V),97,Madarsa recognized (by Wakf board/Madarsa Board) ,16,16,16,0,8,6,16,16,0,0,14,1,0,5,1,14,14,16,16,16,16,14,16,16,16,16,16,1,0,4,15,0,15,0,11,2,0,2
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95615,KHALILABAD,Rural,2,UPS (I-VIII),1,Department of Education,36,36,24,0,35,13,16,17,1,1,27,31,1,4,6,36,36,36,35,36,36,33,33,34,34,36,36,0,0,1,33,15,33,33,35,30,0,3
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95615,KHALILABAD,Rural,2,UPS (I-VIII),4,Government Aided,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95615,KHALILABAD,Rural,2,UPS (I-VIII),5,Private Unaided (Recognized),10,10,10,0,6,1,10,10,0,0,8,0,0,2,1,10,10,10,10,10,10,9,9,9,9,10,10,1,0,1,8,1,8,2,8,2,0,2
2019-20,9,Uttar Pradesh,956,SANT KABIR NAGAR,95615,KHALILABAD,Rural,2,UPS (I-VIII),97,Madarsa recognized (by Wakf board/Madarsa Board) ,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0
